route_number,n_days,mean_kg,std_kg,p10,p50,p90,cv,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
0BM00,34,5071.176470588235,3224.1106499414614,1390.0,4640.0,8710.0,0.6357717323860903,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DA01,70,144.57142857142858,122.02026101995882,20.0,120.0,242.00000000000003,0.8440136631815333,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF1,342,9497.59649122807,3592.8140664223183,5502.0,9350.0,13870.000000000004,0.37828666123483157,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF2,336,8359.651785714286,3316.224953327416,5500.0,7400.0,13200.0,0.3966941492700061,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF3,343,8163.422740524781,2774.51478172027,5604.0,7160.0,12532.0,0.33987150609597266,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF4,356,12600.634831460675,4853.344007196667,6920.0,11795.0,18790.0,0.3851666262940233,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF5,192,7548.697916666667,2127.1175153184868,5422.0,7040.0,10588.0,0.281786016449546,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH1,344,6407.5,2661.600605698865,3246.0,5810.0,10042.0,0.415388311462952,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH2,292,4155.777397260274,1837.3776009736061,2180.0,3910.0,6236.000000000002,0.44212608745235266,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH3,335,5545.841791044776,1738.295061375936,3740.0,5340.0,7576.000000000002,0.3134411558914053,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH4,299,5300.749163879599,2627.950038207168,2192.0,5120.0,8624.0,0.4957695519936244,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH5,181,5095.49723756906,1625.945118741403,3240.0,5000.0,7080.0,0.319094495185538,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM1,326,5482.131901840491,2272.859224939928,3310.0,4890.0,8620.0,0.4145940421785312,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM2,251,4719.880478087649,2667.0373798762876,2040.0,4160.0,8000.0,0.5650646011605975,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM3,301,3771.6279069767443,1604.5980829329003,2000.0,3580.0,5840.0,0.42543912668710515,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM4,259,5018.3011583011585,2924.255720923743,2188.0,4300.0,9040.0,0.5827182603591867,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM5,154,3745.714285714286,1866.5738272231088,1420.0,3600.0,6172.000000000003,0.49832253205803817,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DT1,347,8639.250720461096,2830.8173032867435,5872.0,8280.0,11316.000000000002,0.32766930777715136,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DT2,306,5603.267973856209,2121.1379037307065,3460.0,5320.0,8320.0,0.3785537143016425,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DT3,332,4993.795180722892,1505.286171939707,3420.0,4800.0,6498.000000000001,0.3014312997358063,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DT4,303,6229.76897689769,2687.642485875317,3544.0,5680.0,10524.000000000002,0.4314192863077426,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DT5,172,5300.0,1510.5275791098495,3742.0,5100.0,6922.000000000001,0.285005203605632,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DW1,316,4062.6772151898736,1935.6988689752907,2010.0,3780.0,6390.0,0.47645893740658,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DW2,263,4008.091254752852,2201.186446048299,1964.0,3440.0,7080.0,0.5491857111382134,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DW3,324,3687.932098765432,1395.5587055506855,2180.0,3410.0,5580.0,0.37841225602224654,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DW4,236,3980.9025423728813,2492.205367684797,1510.0,3340.0,7430.0,0.6260402863817102,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DW5,159,4018.364779874214,1634.5602413337845,2000.0,4060.0,6208.000000000001,0.4067724885307577,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
IRF1,203,2031.7733990147783,720.7326153666428,1204.0,1920.0,2892.0000000000005,0.3547308059629737,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
IRH1,271,2487.7859778597785,1362.0609677803702,1400.0,2340.0,3500.0,0.5474992543177447,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
IRM1,246,2265.467479674797,1310.422538554018,1260.0,1980.0,3510.0,0.5784336126255613,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
IRT1,263,2933.4296577946766,1347.925135032139,1444.0,2640.0,4820.0,0.4595048432303285,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
IRW1,284,2841.742957746479,1303.013851131285,1620.0,2550.0,4400.0,0.45852628844537846,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB02,107,558.6915887850467,271.58891004726144,232.00000000000003,540.0,948.0000000000001,0.4861159815165101,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB03,142,544.3661971830986,449.05016350706256,200.0,460.0,820.0,0.824904569443763,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB04,113,466.72566371681415,351.1675487312596,144.00000000000003,420.0,716.0,0.7524067691815005,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB05,63,527.936507936508,1016.2838039136933,164.0,400.0,656.0000000000001,1.9250114145087998,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB06,186,569.7849462365591,441.5708531671376,240.0,500.0,900.0,0.7749780967077524,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
KAB07,35,508.77142857142854,259.42675331610354,180.0,540.0,824.0,0.5099082588905276,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
LC01,25,431.2,172.73100474437126,188.0,480.0,640.0,0.4005821074776699,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBF00,152,11415.657894736842,8557.79724018063,2972.0,9880.0,21774.0,0.7496543185764334,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBF99,103,11726.019417475729,7054.607636260153,4504.0,10960.0,19056.0,0.6016199858706021,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBH00,125,12798.16,13485.178146825236,2336.0,7680.0,27828.000000000004,1.053681009365818,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBH99,105,12360.380952380952,9292.860361569717,3780.0,10880.0,20148.000000000004,0.7518263714824789,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBM00,104,8516.73076923077,10139.163754252562,1350.0,4880.0,18750.000000000004,1.1904995037395472,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBM99,53,11042.641509433963,6095.996211557284,5428.0,9960.0,15800.000000000002,0.552041484489861,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBS00,77,5215.584415584415,4017.984076068918,1012.0,5040.0,9324.000000000002,0.7703804129913016,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBT00,137,11417.372262773722,10405.316180151896,1952.0,7420.0,24476.0,0.9113582303064928,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBT99,93,10415.053763440861,6210.935416431092,2980.0,10000.0,16067.999999999998,0.5963421368243769,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBW00,114,11480.0,13521.966658030367,1466.0,6470.0,31492.000000000004,1.1778716601071748,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OBW99,73,14967.945205479453,11038.223860610722,5472.0,11600.0,31371.999999999993,0.7374575273411516,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OCPBU09,102,442.7450980392157,257.1864403010834,131.0,420.0,740.0,0.5808905427526684,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OCPBU23,265,550.3396226415094,322.45782807403,200.0,480.0,1030.0,0.5859251538646321,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF1,142,11566.338028169013,5374.088803368147,6684.0,10320.0,18078.000000000004,0.4646318299084746,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF10,102,13835.686274509804,7523.897045553385,7094.0,11750.0,22038.000000000004,0.5438036752405299,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF11,109,13731.009174311926,6404.014068875826,7064.0,12100.0,21952.000000000004,0.46639063360736094,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF12,103,13897.669902912621,6277.36881370698,7104.0,12780.0,20292.0,0.4516849844297563,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF13,93,9875.268817204302,3554.8379744761837,6060.0,9560.0,14615.999999999998,0.3599737931470874,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF14,106,14446.037735849057,5595.163332948554,8920.0,13570.0,20280.0,0.38731473884106543,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF15,160,12139.875,4985.387703109403,7398.0,10970.0,18824.0,0.41066219405960963,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF16,73,14890.13698630137,7984.384150249278,7436.0,12420.0,24712.0,0.5362196571861463,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF17,80,13451.75,5789.7567284544475,7526.0,11980.0,21244.0,0.43040918307688203,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF18,77,8804.155844155845,4279.0497440711215,3852.0,7820.0,14288.000000000004,0.48602612445934085,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF19,21,9425.714285714286,6199.632708014703,1320.0,10000.0,17380.0,0.6577361163398442,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF2,139,14703.021582733812,5353.418473704747,9536.0,13640.0,21864.0,0.3641032860885835,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF20,89,15142.247191011236,4955.897715396775,9800.0,13860.0,21500.0,0.32728944739052357,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF21,90,13056.666666666666,6048.644197604409,7478.0,11630.0,21674.000000000004,0.4632609801586221,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF22,91,13180.21978021978,5722.764285052379,7500.0,12080.0,22020.0,0.43419338831062737,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF23,86,11977.906976744185,4828.193698604569,7530.0,11070.0,18170.0,0.40309160089311036,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF24,86,10934.418604651162,6259.603934971334,5300.0,9540.0,18470.0,0.5724679254833624,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF25,94,16688.72340425532,7758.147189577244,9576.0,14670.0,29306.000000000007,0.46487361565349317,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF3,127,13196.692913385827,5415.680211292126,8360.0,12060.0,18756.0,0.4103816196100789,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF30,21,17411.428571428572,6572.480723223375,9060.0,16520.0,25720.0,0.3774808423249395,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF31,20,26552.0,11644.022455636561,13238.0,27010.0,38160.00000000001,0.438536549248138,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF33,21,17597.14285714286,7771.945150898288,9740.0,17580.0,28260.0,0.44165949063393417,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF34,22,15594.545454545454,6451.708321037169,8330.0,14240.0,24004.0,0.4137157020602126,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF4,145,10291.172413793103,4121.113405286697,6484.0,9300.0,14587.999999999998,0.400451303270678,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF5,143,11162.727272727272,4786.317526799653,6376.0,9900.0,16616.0,0.4287767146738023,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF6,126,11654.920634920634,5327.069550292241,7090.0,10370.0,17110.0,0.4570661368839528,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF7,90,10235.111111111111,3111.3526248329586,6796.0,9710.0,14890.000000000005,0.30398816300639003,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OF8,76,14460.526315789473,6670.603349970044,8030.0,13200.0,22790.0,0.46129741091694576,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-10,106,11575.471698113208,3932.267764964875,7200.0,11270.0,16250.0,0.3397069136807471,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-11,114,10700.0,3982.9797179534226,6746.0,9840.0,16374.0,0.37224109513583387,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-12,103,16233.184466019418,9834.477816163859,6084.0,14460.0,27384.0,0.6058255443810279,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-13,102,14942.745098039215,7763.415620253596,7294.000000000001,13690.0,24694.000000000004,0.5195441379290014,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-14,91,12915.164835164835,4635.11173607075,8100.0,12020.0,18500.0,0.35888908854267776,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-15,90,11174.533333333333,5755.360505113491,6828.0,9810.0,16286.0,0.5150425823998758,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-16,91,11586.153846153846,5124.588822363273,7140.0,10260.0,17560.0,0.4423028461739646,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-17,65,13094.76923076923,5793.1686892009675,7112.0,11460.0,20084.0,0.44240326706854516,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-18,26,9961.538461538461,8350.189311534294,1980.0,8600.0,19590.0,0.8382429424706241,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-2,134,13426.492537313432,8807.94568296599,6032.0,10330.0,23626.000000000004,0.656012406701744,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-20,88,15282.386363636364,8555.911849308948,8032.0,13140.0,27825.999999999996,0.5598544393346376,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-21,90,15052.888888888889,5787.9000566844015,8956.0,13420.0,22884.000000000004,0.3845042702040185,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-22,91,18406.373626373625,10215.563237475073,10340.0,15420.0,31240.0,0.555001405754237,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-23,87,16932.758620689656,8557.622698799709,8466.0,14500.0,27548.000000000004,0.5053885719686214,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-24,94,16398.08510638298,9586.29849704251,9606.0,13670.0,26108.0,0.5845986549558173,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-25,89,14034.831460674157,8367.858707355887,6412.0,12360.0,21840.0,0.5962208189533855,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-26,31,16313.548387096775,9615.164948623986,8340.0,15120.0,27340.0,0.5893975191950952,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-3,140,13941.714285714286,6487.881558106981,5616.0,13290.0,21650.000000000004,0.465357518103419,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-4,145,12159.586206896553,5427.8393588392055,5872.0,11650.0,19240.0,0.4463835583287117,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-5,151,14904.1059602649,7306.89256994364,8320.0,13740.0,22600.0,0.49026037451855115,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-6,129,12624.341085271319,5867.005710560706,6844.0,11340.0,20040.0,0.4647375788511986,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-7,94,10487.234042553191,4983.64538259634,6346.0,9030.0,16236.0,0.4752106572976831,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH-8,97,12565.567010309278,3872.781883723939,8312.0,11660.0,18344.0,0.30820589954647953,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OH1,132,11808.787878787878,6397.132113916784,6074.0,10630.0,18350.0,0.5417263972882391,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM-1,69,12671.884057971014,10024.46379310639,6012.0,10020.0,18248.0,0.7910791913220423,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM1,56,14715.17857142857,6089.431079881221,8810.0,13490.0,22920.0,0.41381972025162117,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM10,88,14046.136363636364,6629.534307220719,8278.0,12280.0,21445.999999999996,0.4719827670464405,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM11,102,13136.078431372549,6116.417795348267,6334.0,11860.0,20258.000000000004,0.4656197682818784,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM12,96,12731.25,4733.908866665552,8020.0,11810.0,18360.0,0.37183378432326375,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM13,96,11925.833333333334,5118.411691688548,6910.0,11070.0,17250.0,0.4291869212512233,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM14,89,15826.292134831461,6793.8759826944815,9040.0,15000.0,23796.000000000004,0.429277807133492,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM15,84,13613.095238095239,5419.523381033374,8556.0,12050.0,19628.0,0.3981110310509868,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM16,91,14537.582417582418,6499.458326260623,8860.0,13180.0,21060.0,0.4470797234070969,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM17,44,14509.545454545454,7487.985401293119,6542.0,13110.0,22360.000000000004,0.51607305168525,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM2,138,15076.08695652174,7971.724065490786,6748.0,13140.0,25100.0,0.5287661240267861,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM20,85,14021.411764705883,5028.79213769526,8704.0,13180.0,20744.000000000004,0.358650913480305,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM21,88,12335.0,5296.198810380939,7074.0,11410.0,18729.999999999993,0.4293635030710125,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM22,82,11906.585365853658,9305.518901355628,6450.0,9280.0,17566.000000000004,0.7815438780662081,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM23,84,12833.333333333334,6851.282411543908,7024.0,11340.0,18530.0,0.5338661619384863,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM24,86,14449.767441860466,6783.539068821056,8920.0,12550.0,20150.0,0.46945662593637205,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM25,86,12495.348837209302,5355.607220512945,7160.0,11490.0,18250.0,0.42860805970976484,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM3,132,14455.151515151516,8006.90164936909,5326.0,14280.0,22134.0,0.5539133672155884,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM30,21,21465.714285714286,9645.030104374258,10720.0,18720.0,33380.0,0.44932257906708245,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM31,22,23357.272727272728,12938.866212866522,12746.0,19280.0,38240.0,0.5539544947710728,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM32,22,23299.090909090908,10892.512897832035,11256.0,20490.0,37314.00000000001,0.4675080645992914,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM33,24,21310.0,8392.325686886956,13946.0,18400.0,31698.0,0.3938210083006549,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM34,24,30685.833333333332,22319.902196424853,11610.0,24000.0,64961.99999999998,0.7273682925266769,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM35,24,25711.666666666668,13296.294242371072,16588.0,20400.0,39333.99999999999,0.5171307801531498,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM37,21,20760.95238095238,13832.615770259039,9400.0,17860.0,31720.0,0.6662804054668559,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM4,140,15383.285714285714,10216.307703042607,6468.0,12535.0,29174.0,0.6641173994158618,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM5,146,14426.027397260274,9433.92685119653,6490.0,12090.0,22390.0,0.6539518185712151,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM6,118,12095.762711864407,5635.369288710029,6846.0,10680.0,17612.0,0.4658961508216797,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM7,84,15679.047619047618,5640.665520643588,9300.0,15050.0,22744.000000000004,0.3597581726705806,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM8,83,15854.939759036144,5552.903739067621,10000.0,14800.0,20708.0,0.35023177782197984,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT1,145,13304.965517241379,5782.719722988137,6840.0,11880.0,20544.0,0.43462868922843423,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT10,99,12949.89898989899,4859.131839597564,7708.0,12080.0,19108.0,0.3752254626377951,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT11,108,16671.666666666668,9329.88650750858,7900.0,15330.0,26624.0,0.5596253028596568,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT12,100,12115.4,5514.051732170321,6978.0,10740.0,20604.000000000004,0.4551275015410404,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT13,95,11674.736842105263,6270.864211727607,6604.0,10480.0,16948.000000000004,0.5371310973889845,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT14,92,13880.0,5113.369676695539,8534.0,13070.0,20672.000000000007,0.3683983916927622,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT15,89,10923.033707865168,4483.151895631623,6624.0,9860.0,16840.0,0.4104310226932207,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT16,93,11775.053763440861,6815.606551153135,6020.0,9820.0,19776.0,0.5788174464488819,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT17,42,14050.0,6552.031522602036,7256.0,13540.0,20306.0,0.4663367631745221,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
